"t"	"vt"	"alpha"	"beta"	"phi"	"theta"	"psi"	"p"	"q"	"r"	"x9"	"x10"	"alt"	"power"	"nz"	"ps"	"ny_r"
1.300000000000000e-01	3.032242692973077e+01	-6.094423673886547e-02	1.114571131028807e-02	1.261644817190493e-02	-6.040131802775497e-03	-1.405942290391225e-02	-9.399221219601756e-03	1.735380865205770e-02	1.739104535946463e-02	1.032566229343482e+02	-1.183246181446256e+02	-5.208013201621250e+02	-7.902876014021836e+00	1.050505337121859e-01	-7.695596143150997e-04	1.727911213439995e-03
1.400000000000000e-01	3.029437018483182e+01	-6.002477237132987e-02	1.092213414532443e-02	1.165847977787881e-02	-6.011824710923524e-03	-1.315221679917622e-02	-9.644993989380063e-03	2.629689585468608e-02	1.839258550969603e-02	1.036002578048245e+02	-1.183196603184141e+02	-5.210507935764514e+02	-7.824243824792394e+00	9.842408258353319e-02	-8.674804762671122e-04	1.889336533393670e-03
1.500000000000000e-01	3.026596863720784e+01	-5.904591995444180e-02	1.068987747091609e-02	1.048645616529818e-02	-5.929141464641238e-03	-1.202235685227694e-02	-9.843325776938815e-03	3.474613878646304e-02	1.934250295268510e-02	1.039404518615113e+02	-1.183148198175981e+02	-5.213004616884269e+02	-7.746394221626370e+00	9.201281556949792e-02	-9.679306359907622e-04	2.052667760468795e-03
1.600000000000000e-01	3.023725040914336e+01	-5.801243234925980e-02	1.044948519715078e-02	9.112485332841020e-03	-5.795204851964272e-03	-1.068210383437933e-02	-9.997515460670242e-03	4.270678806227749e-02	2.024047716721791e-02	1.042773464286623e+02	-1.183100896744870e+02	-5.215503003399538e+02	-7.669319388581083e+00	8.581746379771493e-02	-1.070456783856092e-03	2.217504066680124e-03
1.700000000000000e-01	3.020824417184854e+01	-5.692895913471237e-02	1.020150002115682e-02	7.548569037794668e-03	-5.613085448539295e-03	-9.143638199912979e-03	-1.011066864667884e-02	5.018504726388009e-02	2.108628055636522e-02	1.046110821616564e+02	-1.183054628368572e+02	-5.218002854348025e+02	-7.593011582168106e+00	7.983840854861324e-02	-1.174635511023061e-03	2.383454106604962e-03
1.800000000000000e-01	3.017897887836300e+01	-5.580004026937394e-02	9.946462739032484e-03	5.806586291523658e-03	-5.385795425114852e-03	-7.419040552848448e-03	-1.018570416182375e-02	5.718799663497440e-02	2.187977655890016e-02	1.049417988121353e+02	-1.183009321845746e+02	-5.220503929994662e+02	-7.517463127742284e+00	7.407568930701514e-02	-1.280071476280671e-03	2.550136360409583e-03
1.900000000000000e-01	3.014948351955776e+01	-5.463010038603433e-02	9.684911566715661e-03	3.898277158355288e-03	-5.116283107158953e-03	-5.520272571088423e-03	-1.022536078731955e-02	6.372352024363950e-02	2.262091773536689e-02	1.052696350070232e+02	-1.182964905455413e+02	-5.223005992392963e+02	-7.442666415279291e+00	6.852901184554350e-02	-1.386395653953614e-03	2.717179460728711e-03
2.000000000000000e-01	3.011978690280698e+01	-5.342344366653271e-02	9.417381466203634e-03	1.835226840903203e-03	-4.807428225183315e-03	-3.459158369453659e-03	-1.023220420582122e-02	6.980023650250895e-02	2.330974382663765e-02	1.055947280402663e+02	-1.182921307110126e+02	-5.225508805903357e+02	-7.368613894546961e+00	6.319775637339742e-02	-1.493263665824717e-03	2.884222504282359e-03
2.100000000000000e-01	3.008991745279773e+01	-5.218424921737318e-02	9.144403469549651e-03	-3.711500454882518e-04	-4.462037775230300e-03	-1.247366198899647e-03	-1.020863412814483e-02	7.542743182671524e-02	2.394637977865292e-02	1.059172136751480e+02	-1.182878454503942e+02	-5.228012137674704e+02	-7.295298069707425e+00	5.808098580604892e-02	-1.600354201592851e-03	3.050915351685507e-03
2.200000000000001e-01	3.005990303398327e+01	-5.091656677022406e-02	8.866503978247365e-03	-2.709625404117969e-03	-4.082842337246353e-03	1.103609927421541e-03	-1.015689155017218e-02	8.061499676170515e-02	2.453103369864385e-02	1.062372259510931e+02	-1.182836275258913e+02	-5.230515758102496e+02	-7.222711493667827e+00	5.317745435154464e-02	-1.707367538086614e-03	3.216918926385572e-03
2.300000000000001e-01	3.002977079462347e+01	-4.962431220886221e-02	8.584203965125999e-03	-5.169175186674030e-03	-3.672492457681299e-03	3.582470119658918e-03	-1.007906605094527e-02	8.537336240199614e-02	2.506399460693787e-02	1.065548969755618e+02	-1.182794697081886e+02	-5.233019441301852e+02	-7.150846763443895e+00	4.848561710759247e-02	-1.814024186776071e-03	3.381905547826349e-03
2.400000000000001e-01	2.999954703436265e+01	-4.831126112391517e-02	8.298017801952667e-03	-7.739003900370450e-03	-3.233553736551796e-03	6.178135556665637e-03	-9.977102905782163e-03	8.971342904780637e-02	2.554562946396780e-02	1.068703566289445e+02	-1.182753647974281e+02	-5.235522965733074e+02	-7.079696521186998e+00	4.400364327252437e-02	-1.920063778576936e-03	3.545559432107440e-03
2.500000000000000e-01	2.996925710837465e+01	-4.698103128761049e-02	8.008450296254395e-03	-1.040860367121769e-02	-2.768493874883420e-03	8.879810916748143e-03	-9.852809068375957e-03	9.364644735755952e-02	2.597637695692188e-02	1.071837318200445e+02	-1.182713056705379e+02	-5.238026115676009e+02	-7.009253482492487e+00	3.972944557481051e-02	-2.025244747872492e-03	3.707578051696586e-03
2.600000000000000e-01	2.993892528924329e+01	-4.563711034154155e-02	7.716000293684997e-03	-1.316768157286933e-02	-2.279702295623231e-03	1.167691113115645e-02	-9.707863851801907e-03	9.718406678966938e-02	2.635674988435605e-02	1.074951474268857e+02	-1.182672852208587e+02	-5.240528679418195e+02	-6.939510377319896e+00	3.566066398744927e-02	-2.129341235751635e-03	3.867670036324453e-03
2.700000000000000e-01	2.990857539945704e+01	-4.428294021702491e-02	7.421169208651017e-03	-1.600611794491019e-02	-1.769494359875279e-03	1.455903236483435e-02	-9.543800241975943e-03	1.003372393578511e-01	2.668716209035778e-02	1.078047227040734e+02	-1.182632965838891e+02	-5.243030443630698e+02	-6.870462425160004e+00	3.179541612973957e-02	-2.232128747486501e-03	4.025537609653699e-03
2.800000000000000e-01	2.987822972303199e+01	-4.292169262324796e-02	7.124434370622103e-03	-1.891428212699865e-02	-1.240048571643878e-03	1.751625611321863e-02	-9.362052806356843e-03	1.031177437165405e-01	2.696821088654575e-02	1.081125744771221e+02	-1.182593329476939e+02	-5.245531209184879e+02	-6.802103175211411e+00	2.813108705812684e-02	-2.333411055725250e-03	4.180912992531543e-03
2.900000000000000e-01	2.984790919321363e+01	-4.155646533936672e-02	6.826274568203916e-03	-2.188261157900162e-02	-6.935069146072588e-04	2.053872640998286e-02	-9.163956967002928e-03	1.055378722394812e-01	2.720057641442996e-02	1.084188195515004e+02	-1.182553873980567e+02	-5.248030777239508e+02	-6.734426028261987e+00	2.466474002039099e-02	-2.433000989248861e-03	4.333535467331476e-03
3.000000000000000e-01	2.981763339585326e+01	-4.019024605297038e-02	6.527165030396521e-03	-2.490171966112766e-02	-1.319502215122773e-04	2.361676148124987e-02	-8.950751123610127e-03	1.076102984874971e-01	2.738501712683067e-02	1.087235733998547e+02	-1.182514530373059e+02	-5.250528951740872e+02	-6.667424295891974e+00	2.139314298457928e-02	-2.530721963994598e-03	4.483154158040186e-03
3.100000000000001e-01	2.978742057661517e+01	-3.882587931466732e-02	6.227571867933762e-03	-2.796250204986946e-02	4.426251519823632e-04	2.674096437336948e-02	-8.723582864153452e-03	1.093479133855214e-01	2.752236091562362e-02	1.090269488459471e+02	-1.182475230617847e+02	-5.253025542043779e+02	-6.601091241572535e+00	1.831281374490867e-02	-2.626409126453605e-03	4.629530740008762e-03
3.200000000000001e-01	2.975728765858618e+01	-3.746604733005352e-02	5.927947914321036e-03	-3.105621010894855e-02	1.028322142919044e-03	2.990229974370114e-02	-8.483515933789458e-03	1.107636686375179e-01	2.761349286970311e-02	1.093290550918429e+02	-1.182435907873182e+02	-5.255520364760339e+02	-6.535420132770032e+00	1.542007645113119e-02	-2.719909619504876e-03	4.772440999581402e-03
3.300000000000001e-01	2.972725021741600e+01	-3.611329044383217e-02	5.628735462105934e-03	-3.417439889993268e-02	1.623328019932009e-03	3.309204097982396e-02	-8.231536828162470e-03	1.118706203047223e-01	2.765935706297386e-02	1.096299983850715e+02	-1.182396496305293e+02	-5.258013242309619e+02	-6.470404219464226e+00	1.271105052418919e-02	-2.811080743402810e-03	4.911673228704629e-03
3.400000000000001e-01	2.969732250476801e+01	-3.477000760508296e-02	5.330365664418258e-03	-3.730893829911578e-02	2.225914699105363e-03	3.630178251511619e-02	-7.968560956933188e-03	1.126818714877434e-01	2.766095080446516e-02	1.099298818290404e+02	-1.182356931245905e+02	-5.260504003062536e+02	-6.406036772777965e+00	1.018167627029753e-02	-2.899789251406228e-03	5.047028103837807e-03
3.500000000000001e-01	2.966751748229343e+01	-3.343845726665844e-02	5.033257959849015e-03	-4.045202276534521e-02	2.834438768355745e-03	3.952345066834856e-02	-7.695438731440797e-03	1.132105175807464e-01	2.761931890921561e-02	1.102288052103085e+02	-1.182317149319805e+02	-5.262992481472112e+02	-6.342311121050395e+00	7.827740408389294e-03	-2.985910704204319e-03	5.178318546781743e-03
3.600000000000001e-01	2.963784685945286e+01	-3.212075947350009e-02	4.737819692941734e-03	-4.359617642360723e-02	3.447340428204482e-03	4.274930951514978e-02	-7.412961547383922e-03	1.134696039050578e-01	2.753554908058814e-02	1.105268649017539e+02	-1.182277088530189e+02	-5.265478518112977e+02	-6.279220672608121e+00	5.644896565274893e-03	-3.069328868908718e-03	5.305369544054132e-03
3.700000000000001e-01	2.960832113375079e+01	-3.081889852064889e-02	4.444445840940052e-03	-4.673425523214731e-02	4.063141789632365e-03	4.597196361963648e-02	-7.121867603524178e-03	1.134720935325977e-01	2.741076831277990e-02	1.108241538196477e+02	-1.182236688315698e+02	-5.267961959673746e+02	-6.216758925970418e+00	3.628681221847785e-03	-3.149935193328807e-03	5.428017974347853e-03
3.800000000000001e-01	2.957894963350957e+01	-2.953472582702441e-02	4.153518786647349e-03	-4.985944755447975e-02	4.680444868529105e-03	4.918435901334568e-02	-6.822847493623447e-03	1.132308418621454e-01	2.724613996950365e-02	1.111207614120066e+02	-1.182195889591697e+02	-5.270442658929561e+02	-6.154919471608076e+00	1.774526670341503e-03	-3.227628358890064e-03	5.546112457014650e-03
3.900000000000001e-01	2.954974056361114e+01	-2.826996288012035e-02	3.865408108349637e-03	-5.296527386161338e-02	5.297929472529809e-03	5.237978319443938e-02	-6.516549524271105e-03	1.127585751644600e-01	2.704286121624486e-02	1.114167736626944e+02	-1.182154634783949e+02	-5.272920474707357e+02	-6.093695989303296e+00	7.777241621464981e-05	-3.302313903262394e-03	5.659513216733084e-03
4.000000000000001e-01	2.952070105436511e+01	-2.702620421709958e-02	3.580470377479340e-03	-5.604558586635695e-02	5.914351070169079e-03	5.555186447694700e-02	-6.203584729422997e-03	1.120678714037385e-01	2.680216059593851e-02	1.117122731030068e+02	-1.182112867858909e+02	-5.275395271847755e+02	-6.033082243834329e+00	-1.466324055998114e-03	-3.373903901561430e-03	5.768091955383347e-03
4.100000000000001e-01	2.949183721331487e+01	-2.580492044894684e-02	3.299048963856174e-03	-5.909456517101791e-02	6.528538674530255e-03	5.869457078588795e-02	-5.884531566031303e-03	1.111711424920597e-01	2.652529563968255e-02	1.120073388272461e+02	-1.182070534352425e+02	-5.277866921163746e+02	-5.973072080442756e+00	-2.862576690635832e-03	-3.442316696728048e-03	5.871731723780031e-03
4.200000000000002e-01	2.946315417955214e+01	-2.460746134199941e-02	3.021473851342428e-03	-6.210672142231909e-02	7.139392748462804e-03	6.180220789953495e-02	-5.559940283526009e-03	1.100806176308768e-01	2.621355046884791e-02	1.123020465112811e+02	-1.182027581397302e+02	-5.280335299395356e+02	-5.913659420710848e+00	-4.115860268722571e-03	-3.507476672005864e-03	5.970326788668009e-03
4.300000000000002e-01	2.943465618003283e+01	-2.343505895721829e-02	2.748061464122672e-03	-6.507688998897822e-02	7.745883139774500e-03	6.486941716036103e-02	-5.230336963668032e-03	1.088083275154059e-01	2.586823336454397e-02	1.125964684334632e+02	-1.181983957748862e+02	-5.282800289160854e+02	-5.854838259088386e+00	-5.231099732949218e-03	-3.569314060686092e-03	6.063782493250115e-03
4.400000000000002e-01	2.940634658775126e+01	-2.228883077064412e-02	2.479114479345522e-03	-6.800022951966710e-02	8.347047128416949e-03	6.789117303154529e-02	-4.896227215606929e-03	1.073660882410202e-01	2.549067416582017e-02	1.128906734922480e+02	-1.181939613798674e+02	-5.285261778917015e+02	-5.796602660606813e+00	-6.213258893678630e-03	-3.627764792955005e-03	6.152015115311670e-03
4.500000000000002e-01	2.937822797969013e+01	-2.116978311361528e-02	2.214921727433512e-03	-7.087221790085034e-02	8.941987254212230e-03	7.086277896182178e-02	-4.558099558474624e-03	1.057654889918409e-01	2.508222198177246e-02	1.131847272433265e+02	-1.181894501604661e+02	-5.287719662880514e+02	-5.738946757786304e+00	-7.067330531632554e-03	-3.682770359548547e-03	6.234951699189917e-03
4.600000000000002e-01	2.935030219532085e+01	-2.007881456342790e-02	1.955758085890851e-03	-7.368864808258502e-02	9.529869257499973e-03	7.377986308897658e-02	-4.216428493256322e-03	1.040178798382111e-01	2.464424282304984e-02	1.134786919347471e+02	-1.181848574916626e+02	-5.290173840955712e+02	-5.681864748333345e+00	-7.798326249211951e-03	-3.734277706184022e-03	6.312529888144988e-03
4.700000000000001e-01	2.932257039507058e+01	-1.901671934233197e-02	1.701884378711667e-03	-7.644562357756264e-02	1.010992008474965e-02	7.663837358299846e-02	-3.871677257712000e-03	1.021343599891527e-01	2.417811718429128e-02	1.137726265429021e+02	-1.181801789196172e+02	-5.292624218663758e+02	-5.625350893398405e+00	-8.411266243702364e-03	-3.782239152955269e-03	6.384697752136619e-03
4.800000000000001e-01	2.929503311811131e+01	-1.798419077152738e-02	1.453547296334846e-03	-7.913955343063418e-02	1.068142591033788e-02	7.943457342082684e-02	-3.524300271360413e-03	1.001257670629433e-01	2.368523764791730e-02	1.140665868127153e+02	-1.181754101634390e+02	-5.295070707066346e+02	-5.569399516061567e+00	-8.911169313912892e-03	-3.826612333241323e-03	6.451413607324199e-03
4.900000000000002e-01	2.926769033908084e+01	-1.698182477110169e-02	1.210979336251544e-03	-8.176714668511033e-02	1.124373017667014e-02	8.216503462287333e-02	-3.174745278570403e-03	9.800266735929163e-02	2.316700651490645e-02	1.143606253019475e+02	-1.181705471167220e+02	-5.297513222684403e+02	-5.514004999995196e+00	-9.303043137973921e-03	-3.867360149318100e-03	6.512645827555359e-03
5.000000000000001e-01	2.924054152339341e+01	-1.601012339700215e-02	9.743987642781502e-04	-8.432540637484087e-02	1.179623165459466e-02	8.482663198419622e-02	-2.823455198981915e-03	9.577534711113453e-02	2.262483346711217e-02	1.146547914294962e+02	-1.181655858488469e+02	-5.299951687412047e+02	-5.459161788266567e+00	-9.591874853869142e-03	-3.904450741946991e-03	6.568372648056668e-03
5.100000000000001e-01	2.921358568084321e+01	-1.506949840631603e-02	7.440095964261867e-04	-8.681162307312321e-02	1.233838252578139e-02	8.741653633519626e-02	-2.470869695581572e-03	9.345380469074856e-02	2.206013326492022e-02	1.149491315275270e+02	-1.181605226060461e+02	-5.302386028426105e+02	-5.404864382252839e+00	-9.782621969538829e-03	-3.937857471319810e-03	6.618581961509972e-03
5.200000000000001e-01	2.918682141724670e+01	-1.416027484240327e-02	5.200016012421486e-04	-8.922336803085636e-02	1.286968648842842e-02	8.993220736798185e-02	-2.117426471767605e-03	9.104774374286903e-02	2.147432348348129e-02	1.152436888972559e+02	-1.181553538122296e+02	-5.304816178091451e+02	-5.351107340647891e+00	-9.880203625300066e-03	-3.967558906853672e-03	6.663271106673438e-03
5.300000000000001e-01	2.916024698391050e+01	-1.328269463174103e-02	3.025503224460181e-04	-9.155848593722002e-02	1.338969688734603e-02	9.237138606529767e-02	-1.763562309644710e-03	8.856656721638119e-02	2.086882229033056e-02	1.155385038681823e+02	-1.181500760695756e+02	-5.307242073862425e+02	-5.297885278546359e+00	-9.889492227813546e-03	-3.993538823451863e-03	6.702446649688902e-03
5.400000000000001e-01	2.913386032475002e+01	-1.243692018459641e-02	9.181712164341826e-05	-9.381508733682947e-02	1.389801486920987e-02	9.473208676945140e-02	-1.409713862595595e-03	8.601937226576442e-02	2.024504626693016e-02	1.158336138605625e+02	-1.181446861588842e+02	-5.309663658180613e+02	-5.245192866593139e+00	-9.815305471917890e-03	-4.015786201986885e-03	6.736124158220793e-03
5.500000000000002e-01	2.910765912091871e+01	-1.162303799194558e-02	-1.120507591543318e-04	-9.599154073759970e-02	1.439428756353317e-02	9.701258892880504e-02	-1.056318215854246e-03	8.341494599336023e-02	1.960440827645030e-02	1.161290534509013e+02	-1.181391810396985e+02	-5.312080878369179e+02	-5.193024830189390e+00	-9.662398763961577e-03	-4.034295231904452e-03	6.764327968576820e-03
5.600000000000002e-01	2.908164083284272e+01	-1.084106221135360e-02	-3.089201155102533e-04	-9.808646444362350e-02	1.487820628971169e-02	9.921142855931224e-02	-7.038132293802566e-04	8.076176200354558e-02	1.894831537992547e-02	1.164248544402381e+02	-1.181335578501967e+02	-5.314493686523995e+02	-5.141375948747896e+00	-9.435458057725499e-03	-4.049065313996241e-03	6.787090945973048e-03
5.700000000000002e-01	2.905580273958521e+01	-1.009093823482128e-02	-4.986716793876089e-04	-1.000987181472014e-01	1.534950479033170e-02	1.013273894582468e-01	-3.526376777895962e-04	7.806797774023644e-02	1.827816680281929e-02	1.167210459249950e+02	-1.181278139068556e+02	-5.316902039401776e+02	-5.090241054991744e+00	-9.139093111824925e-03	-4.060101061543104e-03	6.804454238125717e-03
5.800000000000002e-01	2.903014197549452e+01	-9.372546231899485e-03	-6.811999992110447e-04	-1.020273943138756e-01	1.580795749082204e-02	1.033594942068110e-01	-3.231202426344753e-06	7.534143257904513e-02	1.759535195387137e-02	1.170176543701541e+02	-1.181219467038934e+02	-5.319305898305477e+02	-5.039615034291319e+00	-8.777831175109663e-03	-4.067412298186275e-03	6.816467022373505e-03
5.900000000000002e-01	2.900465556411582e+01	-8.685704661678919e-03	-8.564133015831186e-04	-1.038718093937423e-01	1.625337778543216e-02	1.053069949975548e-01	3.439659091009371e-04	7.258964664585146e-02	1.690124849804602e-02	1.173147036845306e+02	-1.181159539124940e+02	-5.321705228967099e+02	-4.989492824035182e+00	-8.356111104644071e-03	-4.071014051040436e-03	6.823186246559531e-03
6.000000000000002e-01	2.897934044937063e+01	-8.030173747583511e-03	-1.024233335112826e-03	-1.056314948916510e-01	1.668561634946502e-02	1.071693643216913e-01	6.885131004870618e-04	6.981982033341225e-02	1.619722048525869e-02	1.176122152979047e+02	-1.181098333798168e+02	-5.324100001428138e+02	-4.939869413031265e+00	-7.878277918657584e-03	-4.070926537717052e-03	6.824676363925685e-03
6.100000000000002e-01	2.895419352402995e+01	-7.405658909192548e-03	-1.184595196846175e-03	-1.073061883280788e-01	1.710455947766545e-02	1.089462855503913e-01	1.029970065948948e-03	6.703883448789347e-02	1.548461653649966e-02	1.179102082397813e+02	-1.181035831277989e+02	-5.326490189917932e+02	-4.890739840934819e+00	-7.348577785060151e-03	-4.067175146083216e-03	6.821009062302464e-03
6.200000000000002e-01	2.892921165552636e+01	-6.811814145662562e-03	-1.337447141814873e-03	-1.088958241214563e-01	1.751012744864864e-02	1.106376434429419e-01	1.367897395725227e-03	6.425325123715513e-02	1.476476808886017e-02	1.182086992195444e+02	-1.180972013517534e+02	-5.328875772730006e+02	-4.842099197700403e+00	-6.771153444190547e-03	-4.059790405730419e-03	6.812262987900922e-03
6.300000000000002e-01	2.890439170916796e+01	-6.248245365648764e-03	-1.482750376246506e-03	-1.104005244216233e-01	1.790227291526228e-02	1.122435146133767e-01	1.701857332662598e-03	6.146931543265707e-02	1.403898770087494e-02	1.185077027077781e+02	-1.180906864187693e+02	-5.331256732096745e+02	-4.793942623055512e+00	-6.150040062722906e-03	-4.048807950276003e-03	6.798523464039475e-03
6.400000000000002e-01	2.887973056883205e+01	-5.714513658947079e-03	-1.620478835006469e-03	-1.118205899229139e-01	1.828097932080656e-02	1.137641579858205e-01	2.031414624952018e-03	5.869295667687417e-02	1.330856741950732e-02	1.188072310185297e+02	-1.180840368659187e+02	-5.333633054062489e+02	-4.746265305993568e+00	-5.489161514060648e-03	-4.034268469765663e-03	6.779882205165785e-03
6.500000000000002e-01	2.885522515522965e+01	-5.210138505441857e-03	-1.750618943857062e-03	-1.131564906839999e-01	1.864625934105795e-02	1.152000052672440e-01	2.356137460405896e-03	5.592979190818066e-02	1.257477721001619e-02	1.191072943922967e+02	-1.180772513982763e+02	-5.336004728355333e+02	-4.699062484284710e+00	-4.792327078989023e-03	-4.016217652581272e-03	6.756437026554089e-03
6.600000000000003e-01	2.883087244184307e+01	-4.734600917273609e-03	-1.873169367141572e-03	-1.144088569802751e-01	1.899815335209543e-02	1.165516514647999e-01	2.675598468083756e-03	5.318512851509552e-02	1.183886344983474e-02	1.194079010795223e+02	-1.180703288867581e+02	-5.338371748257782e+02	-4.652329444003026e+00	-4.063228558951693e-03	-3.994706116393115e-03	6.728291550082005e-03
6.700000000000003e-01	2.880666946864803e+01	-4.287346510485850e-03	-1.988140741513249e-03	-1.155784702130833e-01	1.933672792397236e-02	1.178198454732578e-01	2.989375773517203e-03	5.046396795204885e-02	1.110204748754272e-02	1.197090574243920e+02	-1.180632683657831e+02	-5.340734110476492e+02	-4.606061519069232e+00	-3.305437793090227e-03	-3.969789327822307e-03	6.695554906511112e-03
6.800000000000003e-01	2.878261335373908e+01	-3.867788502741623e-03	-2.095555396347321e-03	-1.166662538986346e-01	1.966207434034017e-02	1.190054807564341e-01	3.297054094329189e-03	4.777100982870738e-02	1.036552426788563e-02	1.200107679487337e+02	-1.180560690307679e+02	-5.343091815011270e+02	-4.560254090808051e+00	-2.522404568976899e-03	-3.941527510601094e-03	6.658341434714266e-03
6.900000000000003e-01	2.875870130298294e+01	-3.475310634051711e-03	-2.195447061476680e-03	-1.176732647578542e-01	1.997430714417502e-02	1.201095861447435e-01	3.598225863577226e-03	4.511065644530780e-02	9.630461023764084e-03	1.203130354358269e+02	-1.180487302354584e+02	-5.345444865023566e+02	-4.514902587520275e+00	-1.717454916010941e-03	-3.909985542130957e-03	6.616770378307648e-03
